"","ref_yy","metcode","date_pbi","metro","underconstr","num_structures","unitsperstructure","avgstorycount","ref_qq","population","underconstr_per_10kpop"
"208","2004","2410","December 31, 2004","VANCOUVER",18511,4043,4.57853079396488,0.523126391293594,4,"2155314.48",85.8853785457796
"209","2005","0580","December 31, 2005","HALIFAX",1839,410,4.48536585365854,0.0170731707317073,4,"384407.296",47.839882830944
"210","2005","1490","December 31, 2005","REGINA",758,449,1.68819599109131,0,4,"200878.489",37.7342543630941
"211","2005","1700","December 31, 2005","SASKATOON",658,414,1.58937198067633,0,4,"241473.908",27.2493208665841
"212","2005","2410","December 31, 2005","VANCOUVER",21560,4288,5.02798507462687,0.61240671641791,4,"2185166.7",98.6652414207117
"213","2006","0580","December 31, 2006","HALIFAX",2258,484,4.66528925619835,0,4,"386017.781",58.4947147810271
"214","2006","1490","December 31, 2006","REGINA",711,539,1.3191094619666,0,4,"202804.938",35.0583179587077
"215","2006","1700","December 31, 2006","SASKATOON",1115,627,1.77830940988836,0,4,"245414.25",45.4333845732267
"216","2006","2410","December 31, 2006","VANCOUVER",22177,4609,4.81167281405945,0.581688001735734,4,"2212623.72",100.229423555127
"217","2007","0580","December 31, 2007","HALIFAX",2469,707,3.49222065063649,0,4,"389455.75",63.3961624651838
"218","2007","1490","December 31, 2007","REGINA",1175,767,1.53194263363755,0.00391134289439374,4,"205574.063",57.1570159607149
"219","2007","1700","December 31, 2007","SASKATOON",2018,1176,1.71598639455782,0,4,"250703.938",80.4933506868169
"220","2007","2410","December 31, 2007","VANCOUVER",25104,4304,5.83271375464684,0.68703531598513,4,"2248043.41",111.670441452908
"221","2008","0580","December 31, 2008","HALIFAX",1970,687,2.86754002911208,0,4,"393132.594",50.1103197767418
"222","2008","1490","December 31, 2008","REGINA",1470,973,1.51079136690647,0.00308324768756423,4,"209950.406",70.0165352383267
"223","2008","1700","December 31, 2008","SASKATOON",1967,866,2.27136258660508,0.0046189376443418,4,"257128.938",76.4985853128674
